.outcome,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,  cover
0.38,when,class.prev.payment.type14,is,0,&,closest.retail.storeSacriston,is,0,&,acquisition.groupINM,is,0,&,class.prev.source.groupNo Previous Donation,is,0,&,closest.retail.storeLangley Park,is,0,&,acquisition.groupCOL,is,0,&,source.groupREG,is,0,&,acquisition.groupIND,is,0,&,closest.retail.storeLangley Moor,is,0,&,closest.retail.storeMeadowfield,is,0,&,class.prev.activity.clustersCluster Corporate Giving,is,0,&,class.prev.source.groupMER,is,0,&,closest.retail.storeOutside of Catchment Area,is,0,&,donor.genderFemale,is,1,,,,,,,,,&,acquisition.groupREG,is,1,,,,,,,,,,,,,,,,,,,,,,,,,&,class.prev.payment.type2,is,1,,,,,,,,,,,,,,,,,&,class.prev.source.groupDON,is,1, 1%
0.60,when,class.prev.payment.type14,is,0,&,closest.retail.storeSacriston,is,0,&,acquisition.groupINM,is,0,&,class.prev.source.groupNo Previous Donation,is,0,&,closest.retail.storeLangley Park,is,0,&,acquisition.groupCOL,is,0,&,source.groupREG,is,0,&,acquisition.groupIND,is,0,&,closest.retail.storeLangley Moor,is,0,&,closest.retail.storeMeadowfield,is,0,&,class.prev.activity.clustersCluster Corporate Giving,is,0,&,class.prev.source.groupMER,is,0,&,closest.retail.storeOutside of Catchment Area,is,1,&,donor.genderFemale,is,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,&,class.prev.source.groupLEG,is,1,,,,,,,,, 1%
0.63,when,class.prev.payment.type14,is,0,&,closest.retail.storeSacriston,is,0,&,acquisition.groupINM,is,0,&,class.prev.source.groupNo Previous Donation,is,0,&,closest.retail.storeLangley Park,is,0,&,acquisition.groupCOL,is,0,&,source.groupREG,is,0,&,acquisition.groupIND,is,0,&,closest.retail.storeLangley Moor,is,1,,,,,,,,,,,,,,,,,,,,,,,,,&,class.prev.source.groupMID,is,0,,,,,,,,,,,,,,,,,,,,,,,,,&,acquisition.groupEVE,is,0,,,,,,,,,,,,,,,,,,,,,,,,, 4%
0.67,when,class.prev.payment.type14,is,0,&,closest.retail.storeSacriston,is,0,&,acquisition.groupINM,is,0,&,class.prev.source.groupNo Previous Donation,is,0,&,closest.retail.storeLangley Park,is,0,&,acquisition.groupCOL,is,0,&,source.groupREG,is,0,&,acquisition.groupIND,is,0,&,closest.retail.storeLangley Moor,is,0,&,closest.retail.storeMeadowfield,is,0,&,class.prev.activity.clustersCluster Corporate Giving,is,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 1%
0.68,when,class.prev.payment.type14,is,0,&,closest.retail.storeSacriston,is,0,&,acquisition.groupINM,is,0,&,class.prev.source.groupNo Previous Donation,is,0,&,closest.retail.storeLangley Park,is,0,&,acquisition.groupCOL,is,0,&,source.groupREG,is,0,&,acquisition.groupIND,is,0,&,closest.retail.storeLangley Moor,is,0,&,closest.retail.storeMeadowfield,is,0,&,class.prev.activity.clustersCluster Corporate Giving,is,0,&,class.prev.source.groupMER,is,0,&,closest.retail.storeOutside of Catchment Area,is,1,&,donor.genderFemale,is,1,&,source.groupMID,is,0,,,,,,,,,&,acquisition.groupGEN,is,0,,,,,,,,,&,class.prev.high.value.donationyes,is,0,,,,,,,,,,,,,,,,,,,,,,,,,&,acquisition.groupDOG,is,0,,,,, 2%
0.70,when,class.prev.payment.type14,is,0,&,closest.retail.storeSacriston,is,0,&,acquisition.groupINM,is,0,&,class.prev.source.groupNo Previous Donation,is,0,&,closest.retail.storeLangley Park,is,0,&,acquisition.groupCOL,is,0,&,source.groupREG,is,0,&,acquisition.groupIND,is,0,&,closest.retail.storeLangley Moor,is,0,&,closest.retail.storeMeadowfield,is,0,&,class.prev.activity.clustersCluster Corporate Giving,is,0,&,class.prev.source.groupMER,is,0,&,closest.retail.storeOutside of Catchment Area,is,1,&,donor.genderFemale,is,1,&,source.groupMID,is,1,,,,,,,,,&,acquisition.groupGEN,is,0,,,,,,,,,&,class.prev.high.value.donationyes,is,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 1%
0.70,when,class.prev.payment.type14,is,0,&,closest.retail.storeSacriston,is,1,&,acquisition.groupINM,is,0,&,class.prev.source.groupNo Previous Donation,is,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,&,source.groupMID,is,0,,,,,,,,,,,,,&,acquisition.groupMID,is,0,,,,,,,,,&,class.prev.activity.clustersNo Previous Donation,is,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 1%
0.77,when,class.prev.payment.type14,is,0,&,closest.retail.storeSacriston,is,0,&,acquisition.groupINM,is,0,&,class.prev.source.groupNo Previous Donation,is,0,&,closest.retail.storeLangley Park,is,0,&,acquisition.groupCOL,is,0,&,source.groupREG,is,0,&,acquisition.groupIND,is,0,&,closest.retail.storeLangley Moor,is,0,&,closest.retail.storeMeadowfield,is,0,&,class.prev.activity.clustersCluster Corporate Giving,is,0,&,class.prev.source.groupMER,is,0,&,closest.retail.storeOutside of Catchment Area,is,0,,,,,,,,,&,class.prev.source.groupMID,is,1,&,acquisition.groupREG,is,0,,,,,&,acquisition.groupMID,is,0,&,closest.retail.storeDurham City,is,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 1%
0.78,when,class.prev.payment.type14,is,0,&,closest.retail.storeSacriston,is,0,&,acquisition.groupINM,is,1,&,class.prev.source.groupNo Previous Donation,is,0,&,closest.retail.storeLangley Park,is,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,&,donor.genderDon't Know,is,1,,,,,,,,,,,,,,,,, 0%
0.79,when,class.prev.payment.type14,is,0,&,closest.retail.storeSacriston,is,0,,,,,&,class.prev.source.groupNo Previous Donation,is,0,&,closest.retail.storeLangley Park,is,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,&,class.prev.source.groupMID,is,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 2%
0.80,when,class.prev.payment.type14,is,0,&,closest.retail.storeSacriston,is,1,&,acquisition.groupINM,is,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,&,source.groupMID,is,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 1%
0.85,when,class.prev.payment.type14,is,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 4%
0.86,when,class.prev.payment.type14,is,0,&,closest.retail.storeSacriston,is,0,&,acquisition.groupINM,is,0,&,class.prev.source.groupNo Previous Donation,is,0,&,closest.retail.storeLangley Park,is,0,&,acquisition.groupCOL,is,0,&,source.groupREG,is,0,&,acquisition.groupIND,is,0,&,closest.retail.storeLangley Moor,is,0,&,closest.retail.storeMeadowfield,is,0,&,class.prev.activity.clustersCluster Corporate Giving,is,0,&,class.prev.source.groupMER,is,0,&,closest.retail.storeOutside of Catchment Area,is,0,&,donor.genderFemale,is,1,,,,,,,,,&,acquisition.groupREG,is,1,,,,,,,,,,,,,,,,,,,,,,,,,&,class.prev.payment.type2,is,1,,,,,,,,,,,,,,,,,&,class.prev.source.groupDON,is,0, 0%
0.86,when,class.prev.payment.type14,is,0,&,closest.retail.storeSacriston,is,1,&,acquisition.groupINM,is,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 1%
0.89,when,class.prev.payment.type14,is,0,&,closest.retail.storeSacriston,is,0,&,acquisition.groupINM,is,0,&,class.prev.source.groupNo Previous Donation,is,0,&,closest.retail.storeLangley Park,is,0,&,acquisition.groupCOL,is,0,&,source.groupREG,is,0,&,acquisition.groupIND,is,0,&,closest.retail.storeLangley Moor,is,0,&,closest.retail.storeMeadowfield,is,0,&,class.prev.activity.clustersCluster Corporate Giving,is,0,&,class.prev.source.groupMER,is,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,&,closest.retail.storeDurham City,is,1,,,,,,,,,,,,,,,,,,,,,&,source.groupMER,is,1,,,,,,,,,,,,, 1%
0.90,when,class.prev.payment.type14,is,0,&,closest.retail.storeSacriston,is,0,&,acquisition.groupINM,is,0,&,class.prev.source.groupNo Previous Donation,is,0,&,closest.retail.storeLangley Park,is,0,&,acquisition.groupCOL,is,0,&,source.groupREG,is,0,&,acquisition.groupIND,is,0,&,closest.retail.storeLangley Moor,is,0,&,closest.retail.storeMeadowfield,is,0,&,class.prev.activity.clustersCluster Corporate Giving,is,0,&,class.prev.source.groupMER,is,0,&,closest.retail.storeOutside of Catchment Area,is,1,&,donor.genderFemale,is,1,,,,,,,,,,,,,&,acquisition.groupGEN,is,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 1%
1.00,when,class.prev.payment.type14,is,0,&,closest.retail.storeSacriston,is,0,&,acquisition.groupINM,is,0,&,class.prev.source.groupNo Previous Donation,is,0,&,closest.retail.storeLangley Park,is,0,&,acquisition.groupCOL,is,0,&,source.groupREG,is,0,&,acquisition.groupIND,is,0,&,closest.retail.storeLangley Moor,is,0,&,closest.retail.storeMeadowfield,is,0,&,class.prev.activity.clustersCluster Corporate Giving,is,0,&,class.prev.source.groupMER,is,0,&,closest.retail.storeOutside of Catchment Area,is,0,&,donor.genderFemale,is,0,,,,,,,,,&,acquisition.groupREG,is,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 0%
1.00,when,class.prev.payment.type14,is,0,&,closest.retail.storeSacriston,is,0,&,acquisition.groupINM,is,0,&,class.prev.source.groupNo Previous Donation,is,0,&,closest.retail.storeLangley Park,is,0,&,acquisition.groupCOL,is,0,&,source.groupREG,is,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 0%
